source,parent_category,subcategory,Answer,NewCat,NewSubCat
Tesco,Baby & Toddler,Baby & Toddler Food,351,Baby & Toddler,Baby Food
Tesco,Baby & Toddler,Baby & Toddler Milk,66,Baby & Toddler,Baby Milk & Formula
Tesco,Baby & Toddler,Baby & Toddler Toiletries,141,Baby & Toddler,Baby Toiletries
Tesco,Baby & Toddler,Baby & Toddler Wipes,32,Baby & Toddler,Baby Wipes & Changing
Tesco,Baby & Toddler,Baby Bottles & Accessories,45,Baby & Toddler,Feeding Accessories
Tesco,Baby & Toddler,Baby Laundry,36,Baby & Toddler,Baby Laundry
Tesco,Baby & Toddler,Baby Weaning & Accessories,46,Baby & Toddler,Feeding Accessories
Tesco,Baby & Toddler,"Baby, Toddler & Kids Healthcare",103,Baby & Toddler,Baby Healthcare
Tesco,Baby & Toddler,Breast Feeding Accessories,10,Baby & Toddler,Feeding Accessories
Tesco,Baby & Toddler,Dummies & Teething,48,Baby & Toddler,Dummies & Teethers
Tesco,Baby & Toddler,Mum to Be,21,Baby & Toddler,Maternity
Tesco,Baby & Toddler,Nappies & Pants,141,Baby & Toddler,Nappies & Training
Tesco,Baby & Toddler,Nursery Furniture & Accessories,3,Baby & Toddler,Nursery
Tesco,Baby & Toddler,Pushchairs & Car Safety,2,Baby & Toddler,Travel Systems
Tesco,Baby & Toddler,Sterilising & Antibacterial,10,Baby & Toddler,Sterilising
Tesco,Baby & Toddler,Toilet Training,2,Baby & Toddler,Nappies & Training
Tesco,Baby & Toddler,Toys & Nursery Accessories,41,Baby & Toddler,Baby Toys & Accessories
Waitrose,"Baby, Child & Parent",Baby & Child Healthcare,25,Baby & Toddler,Baby Healthcare
Waitrose,"Baby, Child & Parent",Baby & Child Toys,35,Baby & Toddler,Baby Toys & Accessories
Waitrose,"Baby, Child & Parent",Baby & Toddler Food,170,Baby & Toddler,Baby Food
Waitrose,"Baby, Child & Parent","Baby Toys, Clothing & Laundry",35,Baby & Toddler,Baby Toys & Accessories
Waitrose,"Baby, Child & Parent",Bathtime & Toiletries,44,Baby & Toddler,Baby Toiletries
Waitrose,"Baby, Child & Parent",Bottles & Breast Feeding Accessories,22,Baby & Toddler,Feeding Accessories
Waitrose,"Baby, Child & Parent",Milk & Formula,46,Baby & Toddler,Baby Milk & Formula
Waitrose,"Baby, Child & Parent",Nappies & Potty Training,47,Baby & Toddler,Nappies & Training
Waitrose,"Baby, Child & Parent",Waitrose Mini,6,Baby & Toddler,Waitrose Mini
Waitrose,"Baby, Child & Parent",Wipes & Changing,35,Baby & Toddler,Baby Wipes & Changing
Tesco,Bakery,Bread & Rolls,193,Bakery,Bread & Rolls
