parent_category,subcategory_name,subcategory_url
Fresh Food,Fresh Fruit,https://www.tesco.com/groceries/en-GB/shop/fresh-food/fresh-fruit
Fresh Food,Fresh Vegetables & Fresh Flowers,https://www.tesco.com/groceries/en-GB/shop/fresh-food/fresh-vegetables-and-fresh-flowers
Fresh Food,"Fresh Salad, Coleslaw & Sandwich Fillers",https://www.tesco.com/groceries/en-GB/shop/fresh-food/fresh-salad-coleslaw-and-sandwich-fillers
Fresh Food,Chilled Vegetarian & Vegan,https://www.tesco.com/groceries/en-GB/shop/fresh-food/chilled-vegetarian-and-vegan
Fresh Food,Juice & Smoothies,https://www.tesco.com/groceries/en-GB/shop/fresh-food/juice-and-smoothies
Fresh Food,"Milk, Butter & Eggs",https://www.tesco.com/groceries/en-GB/shop/fresh-food/milk-butter-and-eggs
Fresh Food,Cheese,https://www.tesco.com/groceries/en-GB/shop/fresh-food/cheese
Fresh Food,Yogurts,https://www.tesco.com/groceries/en-GB/shop/fresh-food/yogurts
Fresh Food,Dairy Free & Dairy Alternatives,https://www.tesco.com/groceries/en-GB/shop/fresh-food/dairy-free-and-dairy-alternatives
Fresh Food,Finest Fresh Food,https://www.tesco.com/groceries/en-GB/shop/fresh-food/finest-fresh-food
Fresh Food,Fresh Meat & Poultry,https://www.tesco.com/groceries/en-GB/shop/fresh-food/fresh-meat-and-poultry
Fresh Food,Chilled Fish & Seafood,https://www.tesco.com/groceries/en-GB/shop/fresh-food/chilled-fish-and-seafood
Fresh Food,"Cooked Meats, Antipasti & Dips",https://www.tesco.com/groceries/en-GB/shop/fresh-food/cooked-meats-antipasti-and-dips
Fresh Food,"Pies, Pasties, Quiches & Snacking",https://www.tesco.com/groceries/en-GB/shop/fresh-food/pies-pasties-quiches-and-snacking
Fresh Food,Deli Counter,https://www.tesco.com/groceries/en-GB/shop/fresh-food/deli-counter
Fresh Food,"Fresh Pizza, Pasta & Garlic Bread",https://www.tesco.com/groceries/en-GB/shop/fresh-food/fresh-pizza-pasta-and-garlic-bread
