category_name,category_url
Fresh & Chilled,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled
Bakery,https://www.waitrose.com/ecom/shop/browse/groceries/bakery
Food Cupboard,https://www.waitrose.com/ecom/shop/browse/groceries/food_cupboard
"Beer, Wine & Spirits",https://www.waitrose.com/ecom/shop/browse/groceries/beer_wine_and_spirits
"Tea, Coffee & Soft Drinks",https://www.waitrose.com/ecom/shop/browse/groceries/tea_coffee_and_soft_drinks
Household,https://www.waitrose.com/ecom/shop/browse/groceries/household
"Toiletries, Health & Beauty",https://www.waitrose.com/ecom/shop/browse/groceries/toiletries_health_and_beauty
"Baby, Child & Parent",https://www.waitrose.com/ecom/shop/browse/groceries/baby_child_and_parent
Pet,https://www.waitrose.com/ecom/shop/browse/groceries/pet
Home,https://www.waitrose.com/ecom/shop/browse/groceries/home
New,https://www.waitrose.com/ecom/shop/browse/groceries/new
Dietary & Lifestyle,https://www.waitrose.com/ecom/shop/browse/groceries/dietary_and_lifestyle
Waitrose Brands,https://www.waitrose.com/ecom/shop/browse/groceries/waitrose_brands
Organic Shop,https://www.waitrose.com/ecom/shop/browse/groceries/organic_shop
Everyday Value,https://www.waitrose.com/ecom/shop/browse/groceries/everyday_value
Best of British,https://www.waitrose.com/ecom/shop/browse/groceries/best_of_british
BrandsNew,https://www.waitrose.com/ecom/shop/browse/groceries/brandsnew
