parent_category,subcategory_name,subcategory_url
Fresh & Chilled,Fresh Fruit,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_fruit
Fresh & Chilled,Fresh Vegetables,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_vegetables
Fresh & Chilled,In Season Fruit & Vegetables,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/in_season_fruit_and_vegetables
Fresh & Chilled,Fresh Salad & Herbs,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_salad_and_herbs
Fresh & Chilled,Ready Meals,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/ready_meals
Fresh & Chilled,Fresh Meat,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_meat
Fresh & Chilled,Fresh Chicken & Poultry,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_chicken_and_poultry
Fresh & Chilled,Chilled Fish & Seafood,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/chilled_fish_and_seafood
Fresh & Chilled,"Milk, Butter & Eggs",https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/milk_butter_and_eggs
Fresh & Chilled,Cheese,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/cheese
Fresh & Chilled,"Cooked Meats, Deli & Dips",https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/cooked_meats_deli_and_dips
Fresh & Chilled,Desserts,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/desserts
Fresh & Chilled,Yogurts,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/yogurts
Fresh & Chilled,Party Food,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/party_food
Fresh & Chilled,Easy To Cook Meals,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/easy_to_cook_meals
Fresh & Chilled,Fresh Pizza & Garlic Bread,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_pizza_and_garlic_bread
Fresh & Chilled,Fresh Pasta & Sauces,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_pasta_and_sauces
Fresh & Chilled,Fresh Soups,https://www.waitrose.com/ecom/shop/browse/groceries/fresh_and_chilled/fresh_soups
