source,parent_category,subcategory,Answer
Tesco,Baby & Toddler,Baby & Toddler Food,351
Tesco,Baby & Toddler,Baby & Toddler Milk,66
Tesco,Baby & Toddler,Baby & Toddler Toiletries,141
Tesco,Baby & Toddler,Baby & Toddler Wipes,32
Tesco,Baby & Toddler,Baby Bottles & Accessories,45
Tesco,Baby & Toddler,Baby Laundry,36
Tesco,Baby & Toddler,Baby Weaning & Accessories,46
Tesco,Baby & Toddler,"Baby, Toddler & Kids Healthcare",103
Tesco,Baby & Toddler,Breast Feeding Accessories,10
Tesco,Baby & Toddler,Dummies & Teething,48
Tesco,Baby & Toddler,Mum to Be,21
Tesco,Baby & Toddler,Nappies & Pants,141
Tesco,Baby & Toddler,Nursery Furniture & Accessories,3
Tesco,Baby & Toddler,Pushchairs & Car Safety,2
Tesco,Baby & Toddler,Sterilising & Antibacterial,10
Tesco,Baby & Toddler,Toilet Training,2
Tesco,Baby & Toddler,Toys & Nursery Accessories,41
Tesco,Bakery,Bread & Rolls,193
Tesco,Bakery,"Cakes, Cake Bars, Slices & Pies",254
Tesco,Bakery,"Croissants, Brioche & Pastries",39
Tesco,Bakery,"Crumpets, Muffins & Pancakes",43
Tesco,Bakery,"Doughnuts, Cookies & Muffins",34
Tesco,Bakery,Finest Bakery,87
Tesco,Bakery,Free From Bakery,102
Tesco,Bakery,From Our Bakery,91
Tesco,Bakery,"Teacakes, Fruit Loaves & Scones",23
Tesco,Bakery,"Wraps, Pittas, Naan & Thins",75
Tesco,Drinks,Adult Soft Drinks & Mixers,150
Tesco,Drinks,Alcohol Free & Low Alcohol Drinks,36
Tesco,Drinks,Alcohol Gift Sets,16
Tesco,Drinks,Beer & Cider,465
Tesco,Drinks,Coffee,309
Tesco,Drinks,Finest Drinks,95
Tesco,Drinks,Fizzy & Soft Drinks,206
Tesco,Drinks,Hot Chocolate & Malted Drinks,43
Tesco,Drinks,"Juices, Smoothies & Wellness Drinks",225
Tesco,Drinks,Kids Drinks,90
Tesco,Drinks,Milk & Milkshakes,231
Tesco,Drinks,"Mugs, Glasses & Water Bottles",106
Tesco,Drinks,On The Go Drinks,62
Tesco,Drinks,Ready To Drink Wine & Spirits,111
Tesco,Drinks,Spirits,481
Tesco,Drinks,Sports & Energy Drinks,134
Tesco,Drinks,Squash & Cordial,107
Tesco,Drinks,Tea,190
Tesco,Drinks,Water,98
Tesco,Drinks,Wine,354
Tesco,Food Cupboard,Biscuits & Cereal Bars,363
Tesco,Food Cupboard,Cereals,350
Tesco,Food Cupboard,"Chocolate, Sweets, Mints & Chewing Gum",430
Tesco,Food Cupboard,Cooking Ingredients,480
Tesco,Food Cupboard,"Cooking Sauces, Meal Kits & Sides",480
Tesco,Food Cupboard,Crackers & Crispbreads,111
Tesco,Food Cupboard,"Crisps, Snacks, Nuts & Popcorn",397
Tesco,Food Cupboard,Desserts,149
Tesco,Food Cupboard,"Dried Fruit, Nuts, Nutrient Powders & Seeds",300
Tesco,Food Cupboard,"Dried Pasta, Rice, Noodles & Cous Cous",338
Tesco,Food Cupboard,Finest Food Cupboard,105
Tesco,Food Cupboard,Free From,401
Tesco,Food Cupboard,Home Baking & Sugar,480
Tesco,Food Cupboard,Instant Noodles & Easy Meals,236
Tesco,Food Cupboard,"Jams, Sweet & Savoury Spreads",169
Tesco,Food Cupboard,"Table Sauces, Olives, Pickles & Chutney",427
Tesco,Food Cupboard,"Tins, Cans & Packets",480
Tesco,Food Cupboard,World Foods,480
Tesco,Fresh Food,Cheese,315
Tesco,Fresh Food,Chilled Desserts,219
Tesco,Fresh Food,Chilled Fish & Seafood,137
Tesco,Fresh Food,"Chilled Soup, Sandwiches & Salad Pots",179
Tesco,Fresh Food,Chilled Vegetarian & Vegan,160
Tesco,Fresh Food,"Cooked Meats, Antipasti & Dips",364
Tesco,Fresh Food,Dairy Free & Dairy Alternatives,191
Tesco,Fresh Food,Deli Counter,79
Tesco,Fresh Food,Finest Fresh Food,362
Tesco,Fresh Food,Fresh Fruit,210
Tesco,Fresh Food,Fresh Meat & Poultry,480
Tesco,Fresh Food,"Fresh Pizza, Pasta & Garlic Bread",127
Tesco,Fresh Food,"Fresh Salad, Coleslaw & Sandwich Fillers",216
Tesco,Fresh Food,Fresh Vegetables & Fresh Flowers,283
Tesco,Fresh Food,Juice & Smoothies,144
Tesco,Fresh Food,"Milk, Butter & Eggs",407
Tesco,Fresh Food,"Pies, Pasties, Quiches & Snacking",203
Tesco,Fresh Food,Ready Meals,341
Tesco,Fresh Food,Taste Discoveries,7
Tesco,Fresh Food,Uptown Diner ,7
Tesco,Fresh Food,World Foods,60
Tesco,Fresh Food,Yogurts,302
Tesco,Frozen Food,"Chips, Potatoes & Sides",74
Tesco,Frozen Food,Desserts,59
Tesco,Frozen Food,Finest Frozen Food,36
Tesco,Frozen Food,Fish & Seafood,88
Tesco,Frozen Food,Free From & Gluten Free,53
Tesco,Frozen Food,Fruit & Pastry,34
Tesco,Frozen Food,Ice Cream & Lollies,267
Tesco,Frozen Food,Ice Cubes,9
Tesco,Frozen Food,Meat & Poultry,110
Tesco,Frozen Food,Party Foods,58
Tesco,Frozen Food,"Pies, Bakes & Sausage Rolls",25
Tesco,Frozen Food,Pizza & Garlic Bread,65
Tesco,Frozen Food,Ready Meals,132
Tesco,Frozen Food,Vegan,65
Tesco,Frozen Food,Vegetables,62
Tesco,Frozen Food,Vegetarian,89
Tesco,Frozen Food,World Foods & Halal,19
Tesco,Frozen Food,Yorkshire Puddings & Stuffing,10
Tesco,Health & Beauty,Body Skincare,160
Tesco,Health & Beauty,Conditioner,221
Tesco,Health & Beauty,Deodorants,267
Tesco,Health & Beauty,Face Skincare,419
Tesco,Health & Beauty,Hair Colourants & Dyes,289
Tesco,Health & Beauty,Haircare & Styling,431
Tesco,Health & Beauty,Kid's Zone,121
Tesco,Health & Beauty,Lifestyle & Wellbeing,435
Tesco,Health & Beauty,Makeup & Accessories,483
Tesco,Health & Beauty,Medicine,479
Tesco,Health & Beauty,Men's Toiletries,369
Tesco,Health & Beauty,Menopause,358
Tesco,Health & Beauty,"Perfumes, Aftershaves & Gift Sets",92
Tesco,Health & Beauty,Shampoo,244
Tesco,Health & Beauty,"Shower, Bath & Hand Hygiene",243
Tesco,Health & Beauty,Suncare & Travel,277
Tesco,Health & Beauty,"Toothpaste, Mouthwash & Toothbrush",243
Tesco,Health & Beauty,"Vitamins, Minerals & Supplements",333
Tesco,Health & Beauty,Women's Toiletries,480
Tesco,Home & Ents,Bathroom Accessories & Towels,196
Tesco,Home & Ents,Batteries,57
Tesco,Home & Ents,Bedding,374
Tesco,Home & Ents,Books,197
Tesco,Home & Ents,Cooking & Dining,482
Tesco,Home & Ents,DIY & Car Care,273
Tesco,Home & Ents,Electrical,320
Tesco,Home & Ents,F&F Home,480
Tesco,Home & Ents,Fresh Flowers,13
Tesco,Home & Ents,Furniture,2
Tesco,Home & Ents,Garden & Outdoor,199
Tesco,Home & Ents,Greeting Cards,119
Tesco,Home & Ents,Home Accessories,480
Tesco,Home & Ents,Paperchase,27
Tesco,Home & Ents,Party & Giftwrap,243
Tesco,Home & Ents,Sports & Leisure,35
Tesco,Home & Ents,"Stationery, Arts & Crafts",480
Tesco,Home & Ents,Tobacco & Alternatives,357
