parent_category,subcategory_name,subcategory_url
Food Cupboard,"Dried Fruit, Nuts, Nutrient Powders & Seeds",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/dried-fruit-nuts-nutrient-powders-and-seeds
Food Cupboard,Cereals,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/cereals
Food Cupboard,"Chocolate, Sweets, Mints & Chewing Gum",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/chocolate-sweets-mints-and-chewing-gum
Food Cupboard,"Crisps, Snacks, Nuts & Popcorn",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/crisps-snacks-nuts-and-popcorn
Food Cupboard,Biscuits & Cereal Bars,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/biscuits-and-cereal-bars
Food Cupboard,Crackers & Crispbreads,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/crackers-and-crispbreads
Food Cupboard,Free From,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/free-from
Food Cupboard,"Tins, Cans & Packets",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/tins-cans-and-packets
Food Cupboard,Instant Noodles & Easy Meals,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/instant-noodles-and-easy-meals
Food Cupboard,Cooking Ingredients,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/cooking-ingredients
Food Cupboard,"Cooking Sauces, Meal Kits & Sides",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/cooking-sauces-meal-kits-and-sides
Food Cupboard,"Dried Pasta, Rice, Noodles & Cous Cous",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/dried-pasta-rice-noodles-and-cous-cous
Food Cupboard,"Table Sauces, Olives, Pickles & Chutney",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/table-sauces-olives-pickles-and-chutney
Food Cupboard,World Foods,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/world-foods
Food Cupboard,"Jams, Sweet & Savoury Spreads",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/jams-sweet-and-savoury-spreads
Food Cupboard,Desserts,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/desserts
Food Cupboard,Home Baking & Sugar,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/home-baking-and-sugar
Food Cupboard,Finest Food Cupboard,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/finest-food-cupboard
